ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Minimum_distance,Closest_snow_lat,Closest_snow_lon,Closest_snow_lat_degrees
113,Galtu?r,0.8188982882782554,0.17751013854253608,Austria,Europe,40,December - April,2300,1600,6,25,12,43,4,133,9,2,2,13,15442,Yes,Yes,Yes,No,0.001111372680598326,46.87499999999999,10.125,2685.7419332248955
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),0.8282485703066915,0.2189413211720744,Austria,Europe,53,November - April,2096,830,140,112,18,270,0,927,21,22,28,71,135104,Yes,Yes,Yes,No,0.0019840387699538507,47.375,12.625,2714.3898471792945
115,Schladming (4-Berge-Skischauke),0.8271813713110276,0.23887930935889998,Austria,Europe,52,April,2015,745,46,68,8,122,4,600,16,20,10,46,71842,Yes,Yes,Yes,No,0.001128447333571942,47.375,13.625,2714.3898471792945
116,Ellmau (SkiWelt Wilder Kaiser-Brixental),0.8293670618677528,0.21454001449401386,Austria,Europe,49,December - April,1957,620,122,129,33,284,7,1700,54,35,16,105,147250,Yes,Yes,Yes,No,0.0023433097103298505,47.625,12.374999999999998,2728.713804156494
117,Zauchensee,0.8254232101380999,0.23486694740532219,Austria,Europe,52,April,2188,1000,23,16,4,43,6,113,9,6,4,19,25988,Yes,Yes,No,No,0.002018919895079886,47.375,13.374999999999998,2714.3898471792945
118,Westendorf (SkiWelt Wilder Kaiser-Brixental),0.8269919404153389,0.21330957254783553,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No,0.0016946158086344274,47.375,12.125,2714.3898471792945
119,Silvretta Montafon,0.8209155023445915,0.17412748804120282,Austria,Europe,53,November - April,2430,700,60,45,8,113,12,330,25,18,10,53,67472,Yes,Yes,No,No,0.00237087725988791,47.12499999999999,9.874999999999998,2700.0658902020946
120,Z�rs (Ski Arlberg),0.823702505444611,0.1773287579712222,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No,0.0013630729809752887,47.12499999999999,10.125,2700.0658902020946
121,S�ll (SkiWelt Wilder Kaiser-Brixental),0.8290861609612221,0.21275775994377777,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No,0.0024110032154762424,47.625,12.125,2728.713804156494
122,St. Johann in Tirol,0.8294218939578832,0.2169212201590611,Austria,Europe,44,December - April,1604,659,16,23,3,42,8,260,12,4,4,20,21100,Yes,No,Yes,No,0.002020777998901413,47.625,12.374999999999998,2728.713804156494
123,St. Christoph (Ski Arlberg),0.8206926353319999,0.27001661490302775,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No,0.0024519968354455783,47.12499999999999,15.375,2700.0658902020946
124,Courmayeur / Che?crouit -? Val Veny,0.799140643763511,0.1217027845570111,Italy,Europe,46,Unknown,2755,1205,16,21,4,41,0,280,4,8,6,18,24497,Yes,Yes,No,No,0.0022946601809251317,45.875,6.874999999999999,2628.446105316098
125,Sierra Nevada-Pradollano,0.6474424500689333,-0.05912969805397977,Spain,Europe,47,November - May,3282,2100,50,49,7,106,0,350,5,14,2,21,59205,Yes,Yes,Yes,No,0.0005578269710813565,37.125,-3.3749999999999996,2127.1076111141174
126,Cortina d'Ampezzo,0.8122464566543777,0.21183655150807776,Italy,Europe,52,November - April,2924,1224,45,55,20,120,11,130,8,26,6,40,48089,Yes,Yes,No,No,0.0015279017990977818,46.62499999999999,12.125,2671.417976247696
127,Val Senales Glacier,0.8162891332061277,0.18845041243119998,Italy,Europe,44,October - May,3212,2011,8,7,11,26,8,0,6,6,2,14,15838,Yes,Yes,No,No,0.0022790618494373956,46.87499999999999,10.874999999999998,2685.7419332248955
128,Saas-Fee,0.8047242475209999,0.1383120863985833,Switzerland,Europe,63,July - April,3573,1800,20,60,20,100,14,102,14,2,9,25,25160,Yes,Yes,No,Yes,0.0009206404171929485,46.12499999999999,7.874999999999999,2642.770062293297
129,Champoluc (Monterosa Ski),0.8000005719956055,0.1349377769932328,Italy,Europe,43,December - April,3275,1212,23,94,15,132,0,655,9,9,12,30,31984,Yes,Yes,No,No,0.001973238986038478,45.875,7.625,2628.446105316098
130,Kronplatz (Plan de Corones),0.8157448946264944,0.2087117253813833,Italy,Europe,54,November - April,2275,973,52,42,25,119,7,450,6,5,21,32,71205,Yes,Yes,Yes,No,0.0024612477777417457,46.62499999999999,11.874999999999998,2671.417976247696
131,Formigal,0.7465488581138388,-0.006298209017494443,Spain,Europe,44,November - April,2251,1501,47,70,20,137,6,440,9,11,0,20,29450,Yes,Yes,No,No,0.0017776381380997354,42.87499999999999,-0.37499999999999994,2456.558621589704
132,Baqueira / ?Beret,0.7452355268863055,0.016313884171249998,Spain,Europe,50,December - April,2510,1471,79,52,19,150,5,629,14,19,2,35,53997,Yes,Yes,No,No,0.001658097644324222,42.62499999999999,0.8749999999999999,2442.2346646125047
133,Sauze d�Oulx (Via Lattea),0.7858505364766054,0.11973441959718333,Italy,Europe,48,November - April,2749,1372,96,220,84,400,0,0,29,35,7,71,96433,Yes,No,Yes,No,0.0017476035070197614,45.125,6.874999999999999,2585.4742343844996
134,Cervinia,0.8022051609615083,0.13465923205230965,Switzerland,Europe,81,Year-round,3899,1562,75,220,27,322,0,1060,21,22,20,63,93464,Yes,Yes,No,Yes,0.0022021528291208225,45.875,7.625,2628.446105316098
135,Wasserngrat (Gstaad),0.8109559211529499,0.12770508197642222,Switzerland,Europe,54,December - March,1900,1275,3,3,2,8,0,0,0,1,0,1,900,Yes,No,No,No,0.0018600969153409878,46.37499999999999,7.374999999999999,2657.0940192704966
136,Wispile (Gstaad),0.8107367533625832,0.12734221878447927,Switzerland,Europe,54,December - March,1941,1046,3,3,1,7,0,0,3,0,2,5,3601,Yes,No,Yes,No,0.001921154643301638,46.37499999999999,7.374999999999999,2657.0940192704966
137,Crans-Montana,0.8086189098052278,0.13136097476382422,Switzerland,Europe,60,November - April,1510,540,55,70,15,140,12,0,12,6,5,23,29500,Yes,Yes,No,No,0.001887541912977079,46.37499999999999,7.625,2657.0940192704966
138,Brunni - Engelberg,0.8175267686952749,0.14679320582273228,Switzerland,Europe,38,December - April,2040,1050,2,3,2,7,0,0,3,1,1,5,2577,Yes,No,No,No,0.0008611975402382954,46.87499999999999,8.374999999999998,2685.7419332248955
139,Arosa Lenzerheide,0.8160260564595276,0.16695848122182622,Switzerland,Europe,63,October - April,2865,1229,111,87,27,225,4,0,24,18,8,50,63936,Yes,Yes,Yes,No,0.0023354085420011434,46.87499999999999,9.625,2685.7419332248955
140,Verbier (4 Valle?es),0.8046022927425277,0.12699888732880482,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No,0.0017720356238705086,46.12499999999999,7.374999999999999,2642.770062293297
141,St. Moritz - Corviglia,0.811716946895861,0.17137301891561108,Switzerland,Europe,69,November - April,3057,1720,42,79,34,155,6,170,11,12,5,28,31220,Yes,Yes,No,No,0.0022642815182423296,46.62499999999999,9.874999999999998,2671.417976247696
142,Gresse en Vercors,0.7836720235803666,0.09714881175746666,France,Europe,19,December - March,1751,1245,8,7,5,20,0,51,10,1,0,11,6808,Yes,Yes,No,No,0.001122730708887593,44.87499999999999,5.625,2571.1502774072997
143,Nendaz (4 Valle?es),0.8046022927425277,0.12699888732880482,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No,0.0017720356238705086,46.12499999999999,7.374999999999999,2642.770062293297
144,Villars -? Gryon / Les Diablerets,0.8085917455236943,0.12408597553240554,Switzerland,Europe,54,December - April,2120,1224,51,45,4,100,0,0,20,9,4,33,38905,Yes,Yes,No,No,0.0008477002464559585,46.37499999999999,7.125,2657.0940192704966
145,Thyon (4 Valle?es),0.8046022927425277,0.12699888732880482,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No,0.0017720356238705086,46.12499999999999,7.374999999999999,2642.770062293297
146,Veysonnaz (4 Valle?es),0.8046022927425277,0.12699888732880482,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No,0.0017720356238705086,46.12499999999999,7.374999999999999,2642.770062293297
147,Buchenberg-Buching-Halblech-,0.8308881246253887,0.18868171548560553,Germany,Europe,25,December - March,1140,810,2,4,0,6,0,0,2,1,0,3,2800,Yes,No,No,No,0.0011685614911554373,47.625,10.874999999999998,2728.713804156494
148,Alpendorf (Ski amed�),0.8259328545758499,0.2303034022128833,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No,0.0015330198983709354,47.375,13.125,2714.3898471792945
149,Me?ribel (Les 3 Valle?es),0.7922285383894444,0.11474278738872222,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No,0.0009302525324927008,45.375,6.625,2599.798191361699
150,?Les Menuires (Les 3 Valle?es),0.7910193403984443,0.11410424176794443,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No,0.0017815494716155802,45.375,6.625,2599.798191361699
151,Les Sybelles-Le Corbier-?La Toussuire-?Les Bottie?res-?St Colomban des Villards-?St Sorlin-?St Jean d�Arves,0.7898467724741804,0.109063188997754,France,Europe,44,December - April,2620,1100,53,239,18,310,7,514,44,28,0,72,83807,Yes,Yes,Yes,No,0.003010919540695221,45.375,6.125,2599.798191361699
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,0.803371265937011,0.11686043979777955,France,Europe,47,December - April,2476,694,135,95,35,265,14,1100,34,29,9,72,97624,Yes,Yes,No,No,0.002068449758668648,46.12499999999999,6.625,2642.770062293297
153,Mege?ve-?Saint-Gervais,0.8001477537417777,0.11668678874214182,France,Europe,46,December - April,2353,850,98,134,31,263,5,888,50,27,9,86,106362,Yes,Yes,Yes,No,0.0011802236552318742,45.875,6.625,2628.446105316098
154,Big Sky Resort,0.790353852152761,-1.9443146048491666,United States,North America,110,November - April,3398,2072,55,69,126,250,9,0,11,22,1,34,36283,Yes,Yes,No,No,0.001652719714552245,45.375,-111.37499999999999,2599.798191361699
155,Snowmass,0.6864662355975943,-1.8672590990446665,United States,North America,124,November - April,3813,2473,14,111,111,236,8,0,6,13,2,21,27765,Yes,Yes,Yes,No,0.0020823425279948267,39.375,-106.87499999999999,2256.0232239089123
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),0.743106364878311,0.029116769246366664,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,0,1032,37,28,7,72,99017,Yes,Yes,Yes,No,0.0011292674983235653,42.62499999999999,1.6249999999999998,2442.2346646125047
157,Laax-?Flims-?Falera,0.8176793967367777,0.16087001440439438,Switzerland,Europe,68,October - April,3018,1100,88,81,19,188,14,300,13,9,11,33,46116,Yes,Yes,No,No,0.0016687305318404011,46.87499999999999,9.125,2685.7419332248955
158,Vars-?Risoul-La Fore?t Blanche,0.8296296926831055,0.09659004332408332,France,Europe,39,December - April,2750,1650,75,90,20,185,0,0,32,17,2,51,50145,Yes,Yes,Yes,No,0.0031977888641177995,47.625,5.374999999999999,2728.713804156494
159,Le Grand Domaine-Valmorel-?Doucy-?Celliers-?St Franc?ois Longchamp,0.8485579975803889,-0.039572328086594444,France,Europe,44,December - April,2550,1250,115,35,15,165,0,332,36,17,3,56,60248,Yes,Yes,No,No,0.004652125652089896,48.37499999999999,-2.375,2771.685675088092
160,Galibier Thabor-Valmeinier-?Valloire,0.7881985538612943,0.11282675988712565,France,Europe,39,December - April,2594,1430,75,60,15,150,0,400,12,17,2,31,43300,Yes,Yes,Yes,No,0.0016804313186121313,45.125,6.374999999999999,2585.4742343844996
161,Zillertal Arena-Zell am Ziller-?Gerlos-?Ko?nigsleiten-?Hochkrimml,0.824557874007886,0.21012325730180054,Austria,Europe,52,December - April,2500,580,43,89,11,143,10,792,22,21,13,56,89415,Yes,Yes,No,No,0.0025567663543703658,47.12499999999999,12.125,2700.0658902020946
162,La Molina-?Masella-Alp2500,0.7390195891295999,0.03414220496322778,Spain,Europe,45,November - April,2531,1616,76,47,18,141,0,1010,19,13,1,33,39750,Yes,Yes,Yes,No,0.00299933486377464,42.37499999999999,2.125,2427.9107076353052
163,Lake Louise,0.8975342302734,-2.0276787898924997,Canada,North America,66,November - May,2637,1646,35,62,42,139,8,0,4,5,1,10,14040,Yes,Yes,No,No,0.001265405648720552,51.375,-116.12499999999999,2943.573158814486
164,Auron-Saint-Etienne-de-Tine?e-,0.7718933788756555,0.12096838728000554,France,Europe,34,December - April,1600,1150,60,45,30,135,8,440,7,9,3,19,25030,Yes,Yes,No,No,0.0020195976852500986,44.12499999999999,6.874999999999999,2528.1784064757016
165,Powder Mountain,0.8530701009819054,-2.107790724173411,United States,North America,67,November - April,2712,2101,30,50,55,135,0,0,3,6,0,9,13470,Yes,Yes,Yes,No,0.0018746788909682324,48.87499999999999,-120.87499999999999,2800.333589042491
166,Keystone,0.7330182743297277,-1.609156175328483,United States,North America,120,November - April,3651,2835,25,65,45,135,5,0,7,11,4,22,30500,Yes,Yes,Yes,No,0.0025091487672419693,41.875,-92.12499999999999,2399.2627936809067
167,Alta Badia,0.8127061245038749,0.20787236618621552,Italy,Europe,52,December - April,2550,1324,70,52,8,130,8,391,18,30,11,59,89327,Yes,Yes,No,No,0.0012192434679106437,46.62499999999999,11.874999999999998,2671.417976247696
168,Killington,0.7622602132483333,-1.2702224080930833,United States,North America,90,November - May,1285,355,37,43,46,126,9,1500,5,15,3,23,41660,Yes,Yes,No,No,0.001892406481300313,43.625,-72.875,2499.530492521303
169,Copper Mountain,0.6541158399815221,-1.577526263236372,United States,North America,89,November - April,3767,2926,30,40,56,126,0,0,7,15,1,23,29084,Yes,Yes,No,No,0.0018091989558818417,37.375,-90.37499999999999,2141.431568091317
170,La Clusaz-?Manigod,0.8008185530198888,0.11204465224272038,France,Europe,37,December - April,2477,1040,62,40,23,125,0,223,28,14,7,49,59346,Yes,Yes,Yes,No,0.0007941919209172255,45.875,6.374999999999999,2628.446105316098
171,Espace Villard Correnc?on-Villard-de-Lans-?Correnc?on-en-Vercors,0.7861747293659999,0.09703261481533332,France,Europe,36,December - April,2050,1050,50,50,25,125,0,339,18,7,3,28,26600,Yes,Yes,No,No,0.001810180831447624,45.125,5.625,2585.4742343844996
172,Val Cenis-Lanslevillard-?Lanslebourg-?Termignon,0.7902297157145667,0.11897970845017221,France,Europe,36,December - April,2800,1300,73,42,10,125,0,200,13,13,2,28,39824,Yes,Yes,Yes,No,0.0019891820422032252,45.375,6.874999999999999,2599.798191361699
173,Isola 2000,0.7712066691895221,0.12471137019564416,France,Europe,34,December - April,2603,1800,75,35,10,120,8,430,12,7,3,22,21807,Yes,Yes,Yes,No,0.0011381489658894184,44.12499999999999,7.125,2528.1784064757016
174,Obersaxen-?Mundaun-?Val Lumnezia,0.8159191167359277,0.15886446766226667,Switzerland,Europe,51,December - April,2310,1201,60,40,20,120,15,297,10,9,0,19,20720,Yes,Yes,Yes,No,0.002196164586561668,46.62499999999999,9.125,2671.417976247696
175,Les 7 Laux-Prapoutel-?Le Pleynet-?Pipay,0.789939146564811,0.1053059463003857,France,Europe,36,December - April,2400,1350,46,36,38,120,0,200,15,8,1,24,32232,Yes,Yes,No,No,0.0025609723037256604,45.375,6.125,2599.798191361699
176,Corvatsch-?Furtschellas,0.8106183869780221,0.1713826664068888,Switzerland,Europe,69,November - May,3303,1797,13,89,17,119,9,0,5,6,3,14,18510,Yes,Yes,Yes,No,0.0015597188191503633,46.37499999999999,9.874999999999998,2657.0940192704966
177,Sugarloaf,0.6693013889430444,-1.3270346389099834,United States,North America,81,November - April,1286,426,28,40,51,119,5,0,2,12,0,14,20720,Yes,Yes,No,No,0.002806508016639844,38.37499999999999,-75.875,2198.7273960001144
178,Silver Star,0.7856607303354444,-1.3202317404403,Canada,North America,62,November - April,1915,1155,20,50,45,115,8,0,4,6,0,10,12000,Yes,Yes,Yes,No,0.001946201078668226,45.125,-75.62499999999999,2585.4742343844996
179,Taos,0.6354256326996833,-1.8425998515642221,United States,North America,84,November - April,3795,2805,27,28,58,113,0,0,4,11,0,15,17000,Yes,Yes,No,No,0.0010636214148439657,36.37499999999999,-105.625,2084.1357401825185
180,Nassfeld-Hermagor,0.8130549457135416,0.23118836647381888,Austria,Europe,46,December - April,2002,600,30,69,11,110,7,483,16,9,5,30,49386,Yes,Yes,Yes,No,0.0022282729601834873,46.62499999999999,13.125,2671.417976247696
181,Sunshine Village,0.8916796774683694,-2.0204298606919107,Canada,North America,66,November - May,2730,1660,25,50,34,109,8,2,2,9,1,12,20950,Yes,Yes,No,No,0.00206376650688829,51.12499999999999,-115.875,2929.249201837286
182,Mondole? Ski-Artesina-?Frabosa Soprana-?Prato Nevoso,0.7722978725507776,0.1357006484377222,Italy,Europe,33,Unknown,807,803,42,51,11,104,0,0,19,14,0,33,26068,Yes,Yes,Yes,No,0.0027854585709736215,44.12499999999999,7.874999999999999,2528.1784064757016
183,Aletsch Arena-Riederalp-?Bettmeralp-?Fiesch Eggishorn,0.8096493617971944,0.14068959982271667,Switzerland,Europe,53,December - April,1845,759,42,50,12,104,4,258,18,8,12,38,41109,Yes,Yes,Yes,No,0.0011466779517869563,46.37499999999999,8.125,2657.0940192704966
184,Bad Kleinkirchheim-?St. Oswald,0.8175852101232499,0.24026602114752219,Austria,Europe,47,December - April,2055,1087,18,77,8,103,7,800,17,7,4,28,31186,Yes,Yes,Yes,No,0.001972754969848514,46.87499999999999,13.874999999999998,2685.7419332248955
185,Snowbird,0.7082671824656332,-1.9487857942769164,United States,North America,99,November - May,3353,2365,27,38,38,103,5,0,2,10,1,13,17900,Yes,Yes,Yes,No,0.0009560597057019429,40.62499999999999,-111.62499999999999,2327.6430087949093
186,Bardonecchia,0.7867647723278333,0.11699289886638888,Italy,Europe,36,December - April,2694,1312,54,38,8,100,0,0,13,9,1,23,27588,Yes,Yes,No,No,0.0015894245906800035,45.125,6.625,2585.4742343844996
187,Saint-Lary-Soulan,0.7472958776013332,0.00561914910301111,France,Europe,42,December - April,1600,812,60,30,10,100,3,290,17,11,3,31,38733,Yes,Yes,Yes,No,0.0013726453655029925,42.87499999999999,0.37499999999999994,2456.558621589704
188,Orcie?res Merlette 1850,0.7801127591898666,0.1103667026169111,France,Europe,34,December - April,2725,1850,55,38,7,100,0,0,20,7,3,30,29605,Yes,Yes,No,No,0.0015474180867485327,44.62499999999999,6.374999999999999,2556.8263204301
189,De?voluy-Superde?voluy-?La Joue du Loup,0.7798894017401693,0.10294788317552678,France,Europe,36,December - April,2450,1450,60,30,10,100,0,180,18,5,1,24,27646,Yes,Yes,No,No,0.001114953155862371,44.62499999999999,5.874999999999999,2556.8263204301
190,Grand Tourmalet-?Pic du Midi-La Mongie-?Bare?ges,0.7488985300692611,0.002921875922038889,France,Europe,42,November - April,2500,1250,58,35,7,100,6,0,21,15,2,38,40231,Yes,Yes,No,No,0.0009461131546903376,42.87499999999999,0.12499999999999999,2456.558621589704
191,Mt. Rose,0.7045761353559443,-1.3044413987518944,United States,North America,93,November - April,2957,2407,20,30,50,100,3,0,2,6,0,8,15000,Yes,Yes,No,No,0.001993052616510206,40.37499999999999,-74.625,2313.31905181771
192,Mt. Buller,-0.6504742641876944,2.5551750300744,Australia,Oceania,87,May - October,1790,1390,25,45,30,100,2,216,13,13,1,27,33600,Yes,Yes,Yes,Yes,0.0018965192772439118,-37.375,146.375,-2141.431568091317
193,Mt. Baker,0.8513145176581055,-2.126063457777444,United States,North America,50,November - May,1525,1070,24,45,31,100,3,0,2,8,0,10,15500,Yes,Yes,No,No,0.00201291472764475,48.87499999999999,-121.87499999999999,2800.333589042491
194,Alpine Meadows,0.6837935523396833,-2.0983673539262884,United States,North America,102,November - April,2632,2083,25,40,35,100,5,0,2,11,0,13,16200,Yes,Yes,No,No,0.002735378352989937,39.125,-120.375,2241.699266931713
195,Deer Valley,0.8409262865822333,-2.047282976462383,United States,North America,109,December - April,2917,2003,27,41,32,100,3,0,3,20,1,24,46600,Yes,No,No,No,0.0016288264992397519,48.12499999999999,-117.37499999999999,2757.3617181108925
196,Perisher,-0.6352324074614055,2.590216206252111,Australia,Oceania,0,June - October,1605,1125,22,60,18,100,3,271,34,14,1,49,46975,Yes,Yes,Yes,Yes,0.0006928269627566325,-36.37499999999999,148.37499999999997,-2084.1357401825185
197,Wolf Creek,0.7451766971228999,-2.153652438645583,United States,North America,56,November - April,3628,3139,20,35,45,100,0,0,2,7,0,9,11200,Yes,No,No,No,0.001280712407767696,42.62499999999999,-123.37499999999997,2442.2346646125047
198,Wenatchee-Mission Ridge,0.8276948188180054,-2.0998099406383886,United States,North America,54,November - April,2078,1392,10,60,30,100,3,0,2,4,0,6,4910,Yes,No,Yes,No,0.0014101680023160717,47.375,-120.375,2714.3898471792945
199,Mt. Bachelor,0.7675826217225666,-2.123860836668611,United States,North America,79,November - May,2763,1737,15,25,60,100,4,0,2,11,0,13,25900,Yes,Yes,No,No,0.0021297159398377652,43.875,-121.62499999999999,2513.8544494985026
200,Northstar California Resort,0.6854722661921666,-2.0965212369599997,United States,North America,120,November - April,2624,1929,25,45,27,97,4,0,7,10,3,20,28002,Yes,Yes,No,No,0.0017513714893415166,39.375,-120.125,2256.0232239089123
201,Parsenn (Davos Klosters),0.8175482179009999,0.17165895959572622,Switzerland,Europe,61,November - April,2844,810,20,60,16,96,12,169,4,6,8,18,26795,Yes,Yes,No,No,0.0008993128662995585,46.87499999999999,9.874999999999998,2685.7419332248955
202,Schweitzer Mountain Resort,0.8441882902362777,-2.035458693181611,United States,North America,66,November - April,1950,1206,20,40,35,95,4,0,2,7,0,9,14200,Yes,Yes,Yes,No,0.00011785909142527392,48.37499999999999,-116.625,2771.685675088092
203,Heavenly,0.5888983584233888,-2.05522084238735,United States,North America,120,November - April,3060,2001,18,42,34,94,8,265,8,18,2,28,42790,Yes,Yes,No,No,0.0030532982640410046,33.625,-117.62499999999999,1926.5722134333253
204,Castle Mountain,0.8954669506070944,-2.0236306993339834,Canada,North America,50,December - April,2273,1410,9,20,65,94,5,0,3,4,1,8,6100,Yes,Yes,No,No,0.0017165817214695547,51.375,-115.875,2943.573158814486
205,Oberau (Wildscho?nau),0.8276954733159222,0.20997589596139998,Austria,Europe,30,December - March,1130,900,1,0,1,2,0,0,2,0,0,2,1932,Yes,No,No,No,0.0018500818203809133,47.375,12.125,2714.3898471792945
206,Loveland,0.7050733478239333,-1.833902815179772,United States,North America,61,October - May,3871,3245,12,38,43,93,3,0,2,9,0,11,13000,Yes,Yes,No,No,0.000959146562951087,40.37499999999999,-105.12499999999999,2313.31905181771
207,Stratton,0.7512389256075445,-1.2725347736672554,United States,North America,90,November - April,1181,600,60,20,12,92,0,0,3,9,1,13,26900,Yes,Yes,Yes,No,0.001564850910525725,43.125,-72.875,2470.882578566904
208,Falls Creek,-0.6436538984776111,2.5698935589931606,Australia,Oceania,87,June - September,1780,1500,15,65,12,92,3,0,6,8,0,14,19992,Yes,Yes,Yes,Yes,0.002081058931757129,-36.875,147.12499999999997,-2112.783654136918
209,Bald Mountain-Sun Valley,0.7624107460238387,-1.996689249034022,United States,North America,107,December - April,2788,1752,35,40,17,92,0,0,1,12,1,14,24500,Yes,No,No,No,0.001115618943611322,43.625,-114.37499999999999,2499.530492521303
210,�re,1.1065568142399553,0.22832769116843885,Sweden,Europe,45,November - May,1274,380,45,38,8,91,6,0,27,5,4,36,39000,Yes,Yes,Yes,No,0.0008744776869656676,63.37499999999999,13.125,3631.1230937200585
211,Whitefish Mountain Resort,0.8461538042031804,-1.9959193291007553,United States,North America,65,December - April,2078,1361,18,46,27,91,5,0,3,12,0,15,22600,Yes,Yes,Yes,No,0.001875529800708977,48.37499999999999,-114.37499999999999,2771.685675088092
212,Alto Sangro-Roccaraso-?Rivisondoli,0.7303876831418332,0.2457350650803333,Italy,Europe,41,December - April,2141,1309,37,32,20,89,0,0,11,11,4,26,36602,Yes,No,No,No,0.0009205201413582675,41.875,14.125,2399.2627936809067
213,Chamrousse,0.7874421288024055,0.10285499126359782,France,Europe,34,December - April,2250,1400,45,35,10,90,0,78,8,7,1,16,24398,Yes,Yes,Yes,No,0.0003453353899833257,45.125,5.874999999999999,2585.4742343844996
214,Valberg-?Beuil les Launes,0.769613153512511,0.12095363053364443,France,Europe,32,December - April,2020,1412,45,35,10,90,0,400,22,7,0,29,25940,Yes,Yes,No,No,0.001090412722630594,44.12499999999999,6.874999999999999,2528.1784064757016
215,Mt. Hood Meadows,0.7913090648095554,-2.123462259654655,United States,North America,76,November - April,2225,1378,13,45,31,89,4,0,0,11,0,11,20603,Yes,Yes,Yes,No,0.0009495039097905766,45.375,-121.62499999999999,2599.798191361699
216,Sugar Bowl,0.750372831132411,-2.011350883757883,United States,North America,98,November - April,2555,2098,15,40,34,89,4,0,2,12,1,15,25544,Yes,Yes,No,No,0.002903296353406569,42.87499999999999,-115.12499999999999,2456.558621589704
217,Mammoth Mountain,0.6567802678390444,-2.077509625822555,United States,North America,114,November - June,3369,2424,18,48,22,88,6,120,9,22,3,34,54830,Yes,Yes,No,No,0.0016152309988896444,37.625,-119.125,2155.7555250685164
218,Telluride,0.6621336192294499,-1.8816777579619444,United States,North America,110,November - April,3815,2659,6,51,29,86,7,0,4,11,5,20,22638,Yes,Yes,No,No,0.001545246897091539,37.875,-107.875,2170.079482045716
219,Adelboden-?Lenk-Chuenisba?rgli-?Silleren-?Hahnenmoos-?Metsch,0.8114503794937055,0.13192516935145554,Switzerland,Europe,55,December - April,1260,1072,44,38,6,88,6,500,12,8,6,26,34620,Yes,Yes,Yes,No,0.002357536898808557,46.37499999999999,7.625,2657.0940192704966
220,Rinderberg-?Saanerslochgrat-?Horneggli-Zweisimmen-?Saanenmo?ser-?Scho?nried-?St. Stephan,0.8193681200440666,0.1404988459685722,Switzerland,Europe,54,December - April,2011,948,62,21,4,87,0,0,9,8,4,21,18360,Yes,Yes,Yes,No,0.0018070428869661405,46.87499999999999,8.125,2685.7419332248955
221,Sugarbush,0.7773989036496777,-1.2910166621161945,United States,North America,83,November - April,1240,452,17,40,30,87,5,351,3,13,0,16,25652,Yes,Yes,No,No,0.002203307717972955,44.62499999999999,-73.87499999999999,2556.8263204301
222,Graukogel-Bad Gastein,0.8222428738614332,0.22961939900653497,Austria,Europe,36,December - March,2007,1079,3,6,2,11,0,0,1,2,0,3,3352,Yes,No,No,No,0.0005967718816351449,47.12499999999999,13.125,2700.0658902020946
223,Marmot Basin-Jasper,0.9215433937711276,-2.0609415887656333,Canada,North America,60,November - April,2410,1698,26,26,34,86,5,0,1,6,0,7,11600,Yes,Yes,No,No,0.0014882370610897566,52.87499999999999,-118.125,3029.516900677682
224,Les Portes du Mont-Blanc-Combloux-?Mege?ve le Jaillet-?La Giettaz,0.783109863975111,0.09764746729736877,France,Europe,35,December - April,1835,1113,28,50,7,85,0,0,16,8,1,25,29842,Yes,No,No,No,0.0005377658587056472,44.87499999999999,5.625,2571.1502774072997
225,Purgatory-Durango,0.655473125543811,-1.8811060653763665,United States,North America,76,November - April,3299,2680,15,40,30,85,0,0,2,9,0,11,16700,Yes,Yes,No,No,0.0020571814914250486,37.625,-107.875,2155.7555250685164
